Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TCP Sampler,26668,0,0,16,0.79,62.502%,579.22287,6.15,0.00,10.9
TOTAL,26668,0,0,16,0.79,62.502%,579.22287,6.15,0.00,10.9
