Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TCP Sampler,60000,30,0,802,120.05,8.660%,948.75160,25.39,0.00,27.4
TOTAL,60000,30,0,802,120.05,8.660%,948.75160,25.39,0.00,27.4
